ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:none:;11;20;none;0.645933
cifar10_:none:;9;20;none;0.643029
cifar10_:none:;10;20;none;0.65024
cifar10_:nodes_topk_0.3-0.3:_no;14;20;nodes_topk_0.3-0.3;0.657051
cifar10_:nodes_topk_0.3-0.3:;15;20;nodes_topk_0.3-0.3;0.64403
cifar10_:nodes_topk_0.3-0.3:_no;9;20;nodes_topk_0.3-0.3;0.663562
cifar10_:nodes_topk_0.3-0.3:;9;20;nodes_topk_0.3-0.3;0.651542
cifar10_:nodes_topk_0.3-0.3:_no;13;20;nodes_topk_0.3-0.3;0.651342
cifar10_:nodes_topk_0.3-0.3:;12;20;nodes_topk_0.3-0.3;0.640525
cifar10_:nodes_sample_0.3-0.3:_no;19;20;nodes_sample_0.3-0.3;0.659455
cifar10_:nodes_sample_0.3-0.3:;17;20;nodes_sample_0.3-0.3;0.510317
cifar10_:nodes_sample_0.3-0.3:_no;17;20;nodes_sample_0.3-0.3;0.66276
cifar10_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.521134
cifar10_:nodes_sample_0.3-0.3:_no;19;20;nodes_sample_0.3-0.3;0.657352
cifar10_:nodes_sample_0.3-0.3:;16;20;nodes_sample_0.3-0.3;0.508313
cifar10_:nodes_random_0.3-0.3:_no;19;20;nodes_random_0.3-0.3;0.658053
cifar10_:nodes_random_0.3-0.3:;17;20;nodes_random_0.3-0.3;0.380809
cifar10_:nodes_random_0.3-0.3:_no;18;20;nodes_random_0.3-0.3;0.670873
cifar10_:nodes_random_0.3-0.3:;16;20;nodes_random_0.3-0.3;0.383413
cifar10_:nodes_random_0.3-0.3:_no;20;20;nodes_random_0.3-0.3;0.666266
cifar10_:nodes_random_0.3-0.3:;20;20;nodes_random_0.3-0.3;0.382512
cifar10_:edges_topk_0.3-0.3:_no;11;20;edges_topk_0.3-0.3;0.636318
cifar10_:edges_topk_0.3-0.3:;9;20;edges_topk_0.3-0.3;0.652244
cifar10_:edges_topk_0.3-0.3:_no;9;20;edges_topk_0.3-0.3;0.632312
cifar10_:edges_topk_0.3-0.3:;20;20;edges_topk_0.3-0.3;0.632612
cifar10_:edges_topk_0.3-0.3:_no;10;20;edges_topk_0.3-0.3;0.643429
cifar10_:edges_topk_0.3-0.3:;10;20;edges_topk_0.3-0.3;0.650541
cifar10_:edges_sample_0.3-0.3:_no;12;20;edges_sample_0.3-0.3;0.653746
cifar10_:edges_sample_0.3-0.3:;11;20;edges_sample_0.3-0.3;0.640024
cifar10_:edges_sample_0.3-0.3:_no;18;20;edges_sample_0.3-0.3;0.646935
cifar10_:edges_sample_0.3-0.3:;15;20;edges_sample_0.3-0.3;0.633514
cifar10_:edges_sample_0.3-0.3:_no;12;20;edges_sample_0.3-0.3;0.655449
cifar10_:edges_sample_0.3-0.3:;12;20;edges_sample_0.3-0.3;0.642829
cifar10_:edges_random_0.3-0.3:_no;17;20;edges_random_0.3-0.3;0.667768
cifar10_:edges_random_0.3-0.3:;17;20;edges_random_0.3-0.3;0.643429
cifar10_:edges_random_0.3-0.3:_no;15;20;edges_random_0.3-0.3;0.667869
cifar10_:edges_random_0.3-0.3:;15;20;edges_random_0.3-0.3;0.645733
cifar10_:edges_random_0.3-0.3:_no;13;20;edges_random_0.3-0.3;0.665765
cifar10_:edges_random_0.3-0.3:;13;20;edges_random_0.3-0.3;0.640925
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;20;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.666066
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;20;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.646034
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;17;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.673978
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;20;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.646234
cifar10_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;19;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.666867
