ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:none:;10;20;none;0.646234
cifar10_:none:;14;20;none;0.646034
cifar10_:nodes_topk_0.3-0.3:_no;20;20;nodes_topk_0.3-0.3;0.658654
cifar10_:nodes_topk_0.3-0.3:;17;20;nodes_topk_0.3-0.3;0.64363
cifar10_:nodes_topk_0.3-0.3:_no;10;20;nodes_topk_0.3-0.3;0.661158
cifar10_:nodes_topk_0.3-0.3:;19;20;nodes_topk_0.3-0.3;0.645633
cifar10_:nodes_sample_0.3-0.3:_no;16;20;nodes_sample_0.3-0.3;0.669972
cifar10_:nodes_sample_0.3-0.3:;17;20;nodes_sample_0.3-0.3;0.510617
cifar10_:nodes_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3;0.662961
cifar10_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.523438
cifar10_:nodes_random_0.3-0.3:_no;19;20;nodes_random_0.3-0.3;0.66867
cifar10_:nodes_random_0.3-0.3:;16;20;nodes_random_0.3-0.3;0.394631
cifar10_:nodes_random_0.3-0.3:_no;20;20;nodes_random_0.3-0.3;0.664363
cifar10_:nodes_random_0.3-0.3:;20;20;nodes_random_0.3-0.3;0.381711
cifar10_:edges_topk_0.3-0.3:_no;18;20;edges_topk_0.3-0.3;0.641927
cifar10_:edges_topk_0.3-0.3:;12;20;edges_topk_0.3-0.3;0.636018
cifar10_:edges_topk_0.3-0.3:_no;11;20;edges_topk_0.3-0.3;0.644131
cifar10_:edges_topk_0.3-0.3:;11;20;edges_topk_0.3-0.3;0.650741
cifar10_:edges_sample_0.3-0.3:_no;11;20;edges_sample_0.3-0.3;0.660557
cifar10_:edges_sample_0.3-0.3:;11;20;edges_sample_0.3-0.3;0.647436
cifar10_:edges_sample_0.3-0.3:_no;10;20;edges_sample_0.3-0.3;0.656651
cifar10_:edges_sample_0.3-0.3:;11;20;edges_sample_0.3-0.3;0.638021
