ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:none:402:;11;70;none;0.63772
fashionmnist_:none:402:;59;70;none;0.904647
cifar10_:none:405:;55;70;none;0.64383
fashionmnist_:none:405:;68;70;none;0.904447
cifar10_:nodes_topk_0.3-0.3:1405:_no;15;70;nodes_topk_0.3-0.3;0.654948
cifar10_:nodes_topk_0.3-0.3:1405:;15;70;nodes_topk_0.3-0.3;0.647436
fashionmnist_:nodes_topk_0.3-0.3:1405:_no;18;70;nodes_topk_0.3-0.3;0.902043
fashionmnist_:nodes_topk_0.3-0.3:1405:;40;70;nodes_topk_0.3-0.3;0.898337
cifar10_:nodes_topk_0.3-0.3:1402:_no;12;70;nodes_topk_0.3-0.3;0.655649
cifar10_:nodes_topk_0.3-0.3:1402:;12;70;nodes_topk_0.3-0.3;0.646735
fashionmnist_:nodes_topk_0.3-0.3:1402:_no;9;70;nodes_topk_0.3-0.3;0.90004
fashionmnist_:nodes_topk_0.3-0.3:1402:;9;70;nodes_topk_0.3-0.3;0.897636
mnist_:nodes_topk_0.3-0.3:1402:_no;63;70;nodes_topk_0.3-0.3;0.99389
mnist_:nodes_topk_0.3-0.3:1402:;29;70;nodes_topk_0.3-0.3;0.992788
mnist_:loss_001:1402:_no;28;70;nodes_topk_0.3-0.3;0.992288
mnist_:loss_001:1402:;34;70;nodes_topk_0.3-0.3;0.991987
cifar10_:nodes_topk_0.0-0.6:1402:_no;18;70;nodes_topk_0.0-0.6;0.659756
cifar10_:nodes_topk_0.0-0.6:1402:;18;70;nodes_topk_0.0-0.6;0.647336
fashionmnist_:nodes_topk_0.0-0.6:1402:_no;9;70;nodes_topk_0.0-0.6;0.898738
fashionmnist_:nodes_topk_0.0-0.6:1402:;14;70;nodes_topk_0.0-0.6;0.899639
mnist_:nodes_topk_0.0-0.6:1402:_no;32;70;nodes_topk_0.0-0.6;0.992889
mnist_:nodes_topk_0.0-0.6:1402:;45;70;nodes_topk_0.0-0.6;0.992188
mnist_:loss_001:1402:_no;50;70;nodes_topk_0.0-0.6;0.992488
mnist_:loss_001:1402:;50;70;nodes_topk_0.0-0.6;0.992588
cifar10_:edges_random_0.3-0.3:1402:_no;17;70;edges_random_0.3-0.3;0.666466
cifar10_:edges_random_0.3-0.3:1402:;18;70;edges_random_0.3-0.3;0.640625
fashionmnist_:edges_random_0.3-0.3:1402:_no;32;70;edges_random_0.3-0.3;0.904447
fashionmnist_:edges_random_0.3-0.3:1402:;39;70;edges_random_0.3-0.3;0.900641
mnist_:edges_random_0.3-0.3:1402:_no;30;70;edges_random_0.3-0.3;0.993289
mnist_:edges_random_0.3-0.3:1402:;50;70;edges_random_0.3-0.3;0.992188
mnist_:loss_001:1402:_no;52;70;edges_random_0.3-0.3;0.993189
mnist_:loss_001:1402:;39;70;edges_random_0.3-0.3;0.992588
cifar10_:edges_topk_0.3-0.3:1402:_no;7;70;edges_topk_0.3-0.3;0.641426
cifar10_:edges_topk_0.3-0.3:1402:;7;70;edges_topk_0.3-0.3;0.646234
fashionmnist_:edges_topk_0.3-0.3:1402:_no;7;70;edges_topk_0.3-0.3;0.901342
fashionmnist_:edges_topk_0.3-0.3:1402:;27;70;edges_topk_0.3-0.3;0.901242
mnist_:edges_topk_0.3-0.3:1402:_no;28;70;edges_topk_0.3-0.3;0.99379
mnist_:edges_topk_0.3-0.3:1402:;28;70;edges_topk_0.3-0.3;0.99369
cifar10_:nodes_topk_0.3-0.3:2405:_no;16;70;nodes_topk_0.3-0.3;0.656651
cifar10_:nodes_topk_0.3-0.3:2405:;14;70;nodes_topk_0.3-0.3;0.646334
mnist_:nodes_topk_0.3-0.3:2402:_no;30;70;nodes_topk_0.3-0.3;0.993189
mnist_:nodes_topk_0.3-0.3:2402:;64;70;nodes_topk_0.3-0.3;0.993189
fashionmnist_:nodes_topk_0.3-0.3:2405:_no;16;70;nodes_topk_0.3-0.3;0.904347
fashionmnist_:nodes_topk_0.3-0.3:2405:;30;70;nodes_topk_0.3-0.3;0.898137
mnist_:nodes_topk_0.0-0.6:2402:_no;40;70;nodes_topk_0.0-0.6;0.992288
mnist_:nodes_topk_0.0-0.6:2402:;62;70;nodes_topk_0.0-0.6;0.992889
mnist_:edges_random_0.3-0.3:2402:_no;49;70;edges_random_0.3-0.3;0.99379
mnist_:edges_random_0.3-0.3:2402:;51;70;edges_random_0.3-0.3;0.992588
mnist_:edges_random_0.3-0.3:2405:_no;36;70;edges_random_0.3-0.3;0.993089
mnist_:edges_random_0.3-0.3:2405:;14;70;edges_random_0.3-0.3;0.990184
mnist_:edges_topk_0.3-0.3:2405:_no;59;70;edges_topk_0.3-0.3;0.991787
mnist_:edges_topk_0.3-0.3:2405:;59;70;edges_topk_0.3-0.3;0.991787
mnist_:edges_topk_0.3-0.3:2402:_no;44;70;edges_topk_0.3-0.3;0.992588
mnist_:edges_topk_0.3-0.3:2402:;46;70;edges_topk_0.3-0.3;0.992588
mnist_:none:2405:;21;70;none;0.992087
mnist_:none:2402:;67;70;none;0.992788
mnist_:none:2405:;26;70;none;0.992488
cifar10_:nodes_topk_0.0-0.6:2402:_no;26;70;nodes_topk_0.0-0.6;0.657853
cifar10_:nodes_topk_0.0-0.6:2402:;17;70;nodes_topk_0.0-0.6;0.638822
cifar10_:nodes_topk_0.0-0.6:2405:_no;47;70;nodes_topk_0.0-0.6;0.664062
cifar10_:nodes_topk_0.0-0.6:2405:;14;70;nodes_topk_0.0-0.6;0.657151
fashionmnist_:nodes_topk_0.0-0.6:2402:_no;10;70;nodes_topk_0.0-0.6;0.898938
fashionmnist_:nodes_topk_0.0-0.6:2402:;67;70;nodes_topk_0.0-0.6;0.898938
fashionmnist_:nodes_topk_0.0-0.6:2405:_no;25;70;nodes_topk_0.0-0.6;0.901342
fashionmnist_:nodes_topk_0.0-0.6:2405:;19;70;nodes_topk_0.0-0.6;0.903145
cifar10_:edges_random_0.3-0.3:2402:_no;16;70;edges_random_0.3-0.3;0.665064
cifar10_:edges_random_0.3-0.3:2402:;16;70;edges_random_0.3-0.3;0.634415
fashionmnist_:edges_random_0.3-0.3:2405:_no;29;70;edges_random_0.3-0.3;0.90615
fashionmnist_:edges_random_0.3-0.3:2405:;35;70;edges_random_0.3-0.3;0.90014
fashionmnist_:edges_random_0.3-0.3:2402:_no;19;70;edges_random_0.3-0.3;0.904046
fashionmnist_:edges_random_0.3-0.3:2402:;60;70;edges_random_0.3-0.3;0.898438
cifar10_:edges_topk_0.3-0.3:2405:_no;29;70;edges_topk_0.3-0.3;0.638221
cifar10_:edges_topk_0.3-0.3:2405:;29;70;edges_topk_0.3-0.3;0.648337
fashionmnist_:edges_topk_0.3-0.3:2405:_no;68;70;edges_topk_0.3-0.3;0.904247
fashionmnist_:edges_topk_0.3-0.3:2405:;16;70;edges_topk_0.3-0.3;0.900741
cifar10_:edges_topk_0.3-0.3:2402:_no;7;70;edges_topk_0.3-0.3;0.627204
cifar10_:edges_topk_0.3-0.3:2402:;13;70;edges_topk_0.3-0.3;0.633714
cifar10_:none:2405:;66;70;none;0.642428
fashionmnist_:edges_topk_0.3-0.3:2402:_no;43;70;edges_topk_0.3-0.3;0.901843
fashionmnist_:edges_topk_0.3-0.3:2402:;43;70;edges_topk_0.3-0.3;0.902644
fashionmnist_:none:2405:;38;70;none;0.900641
mnist_:loss_001:2402:;42;70;none;0.992989
cifar10_:loss_001:2405:;8;70;none;0.654247
cifar10_:loss_001:2402:;37;70;none;0.638822
fashionmnist_:loss_001:2405:;61;70;none;0.905248
fashionmnist_:loss_001:2402:;68;70;none;0.900942
mnist_:loss_001:3402:;46;70;none;0.99399
cifar10_:loss_001:3402:;69;70;none;0.639022
fashionmnist_:loss_001:3402:;60;70;none;0.90605
mnist_:nodes_topk_0.0-0.6:3402:_no;12;70;nodes_topk_0.0-0.6;0.991787
mnist_:nodes_topk_0.0-0.6:3402:;46;70;nodes_topk_0.0-0.6;0.99359
mnist_:nodes_topk_0.3-0.3:3402:_no;52;70;nodes_topk_0.3-0.3;0.992388
mnist_:nodes_topk_0.3-0.3:3402:;31;70;nodes_topk_0.3-0.3;0.991386
cifar10_:edges_random_0.3-0.3:3402:_no;14;70;edges_random_0.3-0.3;0.672676
cifar10_:edges_random_0.3-0.3:3402:;20;70;edges_random_0.3-0.3;0.628105
cifar10_:nodes_random_0.3-0.3:1402:_no;25;70;nodes_random_0.3-0.3;0.661759
cifar10_:nodes_random_0.3-0.3:1402:;19;70;nodes_random_0.3-0.3;0.385517
cifar10_:nodes_random_0.3-0.3:2402:_no;18;70;nodes_random_0.3-0.3;0.64974
cifar10_:nodes_random_0.3-0.3:2402:;36;70;nodes_random_0.3-0.3;0.373898
