ModelName;EpochBest;EpochsTotal;Sparse;Score
mnist:none:1:411:single:;70;100;none;0.994191
mnist:none:1:402:single:;29;100;none;0.994291
mnist:none:1:405:single:;37;100;none;0.99389
mnist:none:2:411:single:;66;100;none;0.992288
mnist:none:2:402:single:;76;100;none;0.992688
mnist:none:2:405:single:;79;100;none;0.992989
mnist:none:3:411:single:;52;100;none;0.991086
mnist:none:3:402:single:;32;100;none;0.991987
mnist:none:3:405:single:;36;100;none;0.992188
mnist_:nodes_topk_0.3-0.3:1:411:double:_no;42;100;nodes_topk_0.3-0.3;0.993189
mnist_:nodes_topk_0.3-0.3:1:411:double:;42;100;nodes_topk_0.3-0.3;0.993189
mnist_:nodes_topk_0.3-0.3:1:402:double:_no;81;100;nodes_topk_0.3-0.3;0.99379
mnist_:nodes_topk_0.3-0.3:1:402:double:;81;100;nodes_topk_0.3-0.3;0.99379
mnist_:nodes_topk_0.3-0.3:2:411:double:_no;60;100;nodes_topk_0.3-0.3;0.993089
mnist_:nodes_topk_0.3-0.3:2:411:double:;60;100;nodes_topk_0.3-0.3;0.993189
mnist_:nodes_topk_0.3-0.3:2:402:double:_no;24;100;nodes_topk_0.3-0.3;0.992588
mnist_:nodes_topk_0.3-0.3:2:402:double:;28;100;nodes_topk_0.3-0.3;0.99379
mnist_:nodes_topk_0.3-0.3:3:411:double:_no;72;100;nodes_topk_0.3-0.3;0.992488
mnist_:nodes_topk_0.3-0.3:3:411:double:;99;100;nodes_topk_0.3-0.3;0.992588
mnist_:nodes_topk_0.3-0.3:3:402:double:_no;41;100;nodes_topk_0.3-0.3;0.993089
mnist_:nodes_topk_0.3-0.3:3:402:double:;51;100;nodes_topk_0.3-0.3;0.992989
mnist_:nodes_topk_0.3-0.3:1:405:double:_no;37;100;nodes_topk_0.3-0.3;0.994892
mnist_:nodes_topk_0.3-0.3:1:405:double:;37;100;nodes_topk_0.3-0.3;0.994892
