ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:edges_topk_0.5-0.5:1411:_no;11;70;edges_topk_0.5-0.5;0.628806
cifar10_:edges_topk_0.5-0.5:1411:;19;70;edges_topk_0.5-0.5;0.640925
cifar10_:nodes_topk_0.5-0.5:1402:_no;17;70;nodes_topk_0.5-0.5;0.65645
cifar10_:nodes_topk_0.5-0.5:1402:;17;70;nodes_topk_0.5-0.5;0.646234
cifar10_:edges_topk_0.5-0.5:2411:_no;36;70;edges_topk_0.5-0.5;0.643429
cifar10_:edges_topk_0.5-0.5:2411:;36;70;edges_topk_0.5-0.5;0.648854
cifar10_:nodes_topk_0.5-0.5:2402:_no;16;70;nodes_topk_0.5-0.5;0.663562
cifar10_:nodes_topk_0.5-0.5:2402:;16;70;nodes_topk_0.5-0.5;0.646735
cifar10_:edges_topk_0.5-0.5:3411:_no;70;70;edges_topk_0.5-0.5;0.627103
cifar10_:edges_topk_0.5-0.5:3411:;70;70;edges_topk_0.5-0.5;0.647636
cifar10_:nodes_topk_0.5-0.5:3402:_no;23;70;nodes_topk_0.5-0.5;0.654948
cifar10_:nodes_topk_0.5-0.5:3402:;12;70;nodes_topk_0.5-0.5;0.64383
cifar10_:nodes_topk_0.3-0.3:1405:_no;15;70;nodes_topk_0.3-0.3;0.654948
cifar10_:nodes_topk_0.3-0.3:1405:;15;70;nodes_topk_0.3-0.3;0.647436
cifar10_:nodes_topk_0.3-0.3:1402:_no;12;70;nodes_topk_0.3-0.3;0.655649
cifar10_:nodes_topk_0.3-0.3:1402:;12;70;nodes_topk_0.3-0.3;0.646735
cifar10_:nodes_topk_0.3-0.3:2405:_no;16;70;nodes_topk_0.3-0.3;0.656651
cifar10_:nodes_topk_0.3-0.3:2405:;14;70;nodes_topk_0.3-0.3;0.646334
cifar10_:nodes_topk_0.0-0.6:1402:_no;18;70;nodes_topk_0.0-0.6;0.659756
cifar10_:nodes_topk_0.0-0.6:1402:;18;70;nodes_topk_0.0-0.6;0.647336
cifar10_:nodes_topk_0.0-0.6:2402:_no;26;70;nodes_topk_0.0-0.6;0.657853
cifar10_:nodes_topk_0.0-0.6:2402:;17;70;nodes_topk_0.0-0.6;0.638822
cifar10_:nodes_topk_0.0-0.6:2405:_no;47;70;nodes_topk_0.0-0.6;0.664062
